StudentID,FirstName,LastName,Age,Gender,Department,Marks,Email,PhoneNumber,City
1001,Shawn,Shelton,22,F,IT,54,dunnjacqueline@yahoo.com,(368)455-0037,Salazarchester
1002,Bethany,Clayton,22,M,EEE,76,jessica38@zuniga.com,5009422088,Frankstad
1003,Michelle,Love,19,F,CIVIL,63,fordlatoya@bradshaw-gates.org,(801)990-3776x09615,North Richard
1004,Matthew,Collins,22,F,CIVIL,65,quinnlance@gardner-thomas.net,+1-106-986-2989x387,Petersonton
1005,Ashley,Gallagher,22,F,ECE,55,crystal84@sanchez.com,6745264319,Amyview
1006,Mark,Thompson,23,F,IT,75,xhart@hotmail.com,+1-125-681-6607x39847,New Adriana
1007,Christine,Kramer,21,F,IT,52,rebecca15@tucker.info,2030915091,Underwoodchester
1008,Brian,Davis,18,F,IT,59,starkkatie@yahoo.com,(555)054-2745x17382,Port Laurie
1009,Christina,Davies,18,F,CSE,58,millererik@hotmail.com,921-019-7577,Sandersside
1010,Rebecca,Smith,18,F,ECE,94,sarahrobertson@bryant.com,001-348-902-2668x667,Lisaburgh
1011,Jeremy,Warren,22,M,IT,68,jocelyn81@huffman.com,456-525-1647x064,Gonzalezport
1012,Rebekah,Saunders,25,M,MECH,94,charles83@garrett-smith.com,714.892.3526x9267,North Rachel
1013,Pamela,Navarro,19,F,EEE,53,imoreno@bowman.org,937.420.9469,New Wendyfurt
1014,Susan,Duran,21,F,CSE,65,gmcmahon@hotmail.com,396.841.0537,New Teresa
1015,Melissa,Edwards,22,F,IT,100,allendavid@graham-jones.com,659-746-1608,Robbinsside
1016,Tara,Green,22,F,MECH,99,varnold@edwards.net,001-422-666-4635x3502,South Jonathanstad
1017,Tammy,Johnson,18,F,MECH,52,rodriguezleslie@smith.com,(951)069-6753x6978,North Gregorychester
1018,Tracy,Kelley,23,M,ECE,100,mcdonaldkimberly@wilson-williams.info,+1-947-763-3001x4268,Craigside
1019,Briana,Barry,21,F,CIVIL,54,jennawarner@hart.net,+1-414-880-2332x088,Port Austinberg
1020,Dawn,Sandoval,19,F,CIVIL,94,justingallegos@gmail.com,001-484-928-0982,West Angelicaview
1021,Timothy,Watson,21,M,CSE,50,allendenise@jones.biz,811.471.2211,Sheltonhaven
1022,Steven,Morris,19,M,CIVIL,63,susanrodriguez@gmail.com,2350529897,Danielborough
1023,Vincent,Salazar,23,F,EEE,99,harperalexander@yahoo.com,+1-901-164-3234x3190,West Kristenberg
1024,Brittany,Byrd,24,F,EEE,80,martincourtney@george.com,461.521.1190x493,Lake Amyburgh
1025,Katie,Ruiz,25,M,CSE,75,kmiller@yahoo.com,2047833306,Port Marymouth
1026,Daniel,Randolph,23,M,ECE,78,santanaangela@lopez.org,541.554.4301,North Marytown
1027,Donna,Wilson,25,F,MECH,67,samanthagonzalez@ortiz.info,001-675-148-4603x61610,Parsonsside
1028,Melissa,Baldwin,21,F,ECE,77,qmoore@snow.com,8542859794,Mcdowellborough
1029,Brandon,Bright,19,M,ECE,64,claudia09@dixon.biz,(090)334-1515,Lake Matthew
1030,Nicholas,Smith,23,M,EEE,76,jonathan17@davis-russell.com,001-752-494-7325x64678,New Amandaberg
1031,Lisa,Howard,18,F,EEE,95,kellywhite@hotmail.com,0378134224,North Jamiefurt
1032,Christine,Olsen,25,F,IT,91,levinemelinda@gmail.com,334.983.1877,Port Gary
1033,Dennis,Macdonald,25,F,EEE,64,millermark@jennings-rivera.info,015.066.0977,North Robert
1034,Amy,Jones,18,F,CSE,54,bowmanjoseph@hotmail.com,583.976.5426,South Nina
1035,Jordan,Owen,24,M,IT,92,joyce79@vance-cunningham.com,(587)024-8691,Hartfurt
1036,Stephanie,Coleman,23,M,IT,86,taylor38@woods-sharp.net,110-365-6087x12813,Rogerview
1037,Erin,Cole,24,M,EEE,55,scotthall@potts.com,487.382.0542,Donaldsonland
1038,Bill,Anderson,22,F,ECE,77,jacobbullock@barr.com,(215)081-7986,Kennethside
